Attack,Intensity,Clients Affected,Total Clients,Affected Ratio,Baseline EM,Baseline F1,Baseline BLEU,Attacked EM,Attacked F1,Attacked BLEU,Delta F1,Delta EM,Delta BLEU,Defended EM,Defended F1,Defended BLEU,Recovery F1,Defense,KB Exposed % (no defense),KB Exposed % (defended),Availability Before,Availability After,Runtime (s),Notes
Data Poisoning,light,2,20,0.1,1.0,1.0,1.0,0.952,0.952,0.952,-0.048,-0.048,-0.048,0.952,0.952,0.952,0.0,ClientDataPoisoningDefense,,,,,2.7904,"poison_type=wrong_answer; malicious_clients=[12, 13]; total_poisoned_records=24; quarantined=[]"
Data Poisoning,medium,6,20,0.3,1.0,1.0,1.0,0.856,0.856,0.856,-0.144,-0.144,-0.144,0.856,0.856,0.856,0.0,ClientDataPoisoningDefense,,,,,2.6564,"poison_type=wrong_answer; malicious_clients=[1, 8, 12, 14, 15, 16]; total_poisoned_records=72; quarantined=[]"
Data Poisoning,heavy,10,20,0.5,1.0,1.0,1.0,0.76,0.76,0.76,-0.24,-0.24,-0.24,0.76,0.76,0.76,0.0,ClientDataPoisoningDefense,,,,,2.534,"poison_type=wrong_answer; malicious_clients=[1, 2, 4, 6, 9, 11, 12, 15, 18, 19]; total_poisoned_records=120; quarantined=[]"
KB Extraction,light,2,20,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,30.0,,,0.0134,"targeted_clients=[4, 18]; total_attack_queries=170; nodes_exposed_before_defense=50/50 (100.0%); nodes_exposed_after_defense=15/50 (30.0%)"
KB Extraction,medium,6,20,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,28.67,,,0.0436,"targeted_clients=[2, 3, 7, 8, 14, 15]; total_attack_queries=528; nodes_exposed_before_defense=150/150 (100.0%); nodes_exposed_after_defense=43/150 (28.7%)"
KB Extraction,heavy,10,20,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,29.2,,,0.0704,"targeted_clients=[0, 3, 6, 9, 12, 13, 14, 15, 18, 19]; total_attack_queries=874; nodes_exposed_before_defense=250/250 (100.0%); nodes_exposed_after_defense=73/250 (29.2%)"
Node Availability (node_removal),light,2,20,0.1,1.0,1.0,1.0,0.9,0.9,0.9,-0.1,-0.1,-0.1,0.9,0.9,0.9,0.0,CrossPeerValidation,,,1.0,0.9,1.2524,"attack_type=node_removal; affected_nodes=[12, 13]; availability=1.00→0.90"
Node Availability (node_removal),medium,6,20,0.3,1.0,1.0,1.0,0.7,0.7,0.7,-0.3,-0.3,-0.3,0.7,0.7,0.7,0.0,CrossPeerValidation,,,1.0,0.7,0.9751,"attack_type=node_removal; affected_nodes=[1, 6, 8, 12, 13, 15]; availability=1.00→0.70"
Node Availability (node_removal),heavy,10,20,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,CrossPeerValidation,,,1.0,0.5,0.692,"attack_type=node_removal; affected_nodes=[1, 4, 5, 6, 7, 8, 12, 13, 15, 19]; availability=1.00→0.50"
Node Availability (byzantine),light,2,20,0.1,1.0,1.0,1.0,0.9,0.9666666666666677,0.95,-0.0333,-0.1,-0.05,0.95,0.9833333333333337,0.975,0.0167,CrossPeerValidation,,,1.0,1.0,1.3927,"attack_type=byzantine; affected_nodes=[12, 13]; availability=1.00→1.00"
Node Availability (byzantine),medium,6,20,0.3,1.0,1.0,1.0,0.7,0.9000000000000022,0.85,-0.1,-0.3,-0.15,0.9,0.9666666666666675,0.95,0.0667,CrossPeerValidation,,,1.0,1.0,1.3835,"attack_type=byzantine; affected_nodes=[1, 6, 8, 12, 13, 15]; availability=1.00→1.00"
Node Availability (byzantine),heavy,10,20,0.5,1.0,1.0,1.0,0.5,0.8333333333333358,0.75,-0.1667,-0.5,-0.25,0.85,0.9500000000000011,0.925,0.1167,CrossPeerValidation,,,1.0,1.0,1.3824,"attack_type=byzantine; affected_nodes=[1, 4, 5, 6, 7, 8, 12, 13, 15, 19]; availability=1.00→1.00"
Node Availability (ddos),light,2,20,0.1,1.0,1.0,1.0,0.9,0.9,0.9,-0.1,-0.1,-0.1,0.9,0.9,0.9,0.0,CrossPeerValidation,,,1.0,0.9,1.2411,"attack_type=ddos; affected_nodes=[12, 13]; availability=1.00→0.90"
Node Availability (ddos),medium,6,20,0.3,1.0,1.0,1.0,0.7,0.7,0.7,-0.3,-0.3,-0.3,0.7,0.7,0.7,0.0,CrossPeerValidation,,,1.0,0.7,0.9686,"attack_type=ddos; affected_nodes=[1, 6, 8, 12, 13, 15]; availability=1.00→0.70"
Node Availability (ddos),heavy,10,20,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,CrossPeerValidation,,,1.0,0.5,0.6942,"attack_type=ddos; affected_nodes=[1, 4, 5, 6, 7, 8, 12, 13, 15, 19]; availability=1.00→0.50"
