step,newly_dropped_client,total_dropped_clients,active_clients,fraction_dropped,global_f1,global_em,global_bleu,delta_f1_from_baseline,pct_degradation
1,17,1,19,0.05,0.95,0.95,0.95,-0.050000000000000044,5.000000000000004
2,2,2,18,0.1,0.9,0.9,0.9,-0.09999999999999998,9.999999999999998
3,12,3,17,0.15,0.85,0.85,0.85,-0.15000000000000002,15.000000000000002
4,4,4,16,0.2,0.8,0.8,0.8,-0.19999999999999996,19.999999999999996
5,6,5,15,0.25,0.75,0.75,0.75,-0.25,25.0
6,0,6,14,0.3,0.7,0.7,0.7,-0.30000000000000004,30.000000000000004
7,11,7,13,0.35,0.65,0.65,0.65,-0.35,35.0
8,7,8,12,0.4,0.6,0.6,0.6,-0.4,40.0
9,16,9,11,0.45,0.55,0.55,0.55,-0.44999999999999996,44.99999999999999
10,10,10,10,0.5,0.5,0.5,0.5,-0.5,50.0
11,1,11,9,0.55,0.45,0.45,0.45,-0.55,55.00000000000001
12,13,12,8,0.6,0.4,0.4,0.4,-0.6,60.0
13,18,13,7,0.65,0.35,0.35,0.35,-0.65,65.0
14,3,14,6,0.7,0.3,0.3,0.3,-0.7,70.0
15,15,15,5,0.75,0.25,0.25,0.25,-0.75,75.0
16,5,16,4,0.8,0.2,0.2,0.2,-0.8,80.0
17,8,17,3,0.85,0.15,0.15,0.15,-0.85,85.0
18,9,18,2,0.9,0.1,0.1,0.1,-0.9,90.0
19,19,19,1,0.95,0.05,0.05,0.05,-0.95,95.0
20,14,20,0,1.0,0.0,0.0,0.0,-1.0,100.0
