step,newly_targeted_client,total_targeted_clients,fraction_targeted,nodes_exposed_no_defense,nodes_exposed_with_defense,exposure_pct_no_defense,exposure_pct_with_defense
1,3,1,0.05,25,15,5.0,3.0
2,16,2,0.1,50,30,10.0,6.0
3,14,3,0.15,75,45,15.0,9.0
4,15,4,0.2,100,60,20.0,12.0
5,17,5,0.25,125,75,25.0,15.0
6,1,6,0.3,150,91,30.0,18.2
7,10,7,0.35,175,106,35.0,21.2
8,6,8,0.4,200,123,40.0,24.6
9,2,9,0.45,225,139,45.0,27.800000000000004
10,13,10,0.5,250,154,50.0,30.8
11,18,11,0.55,275,169,55.00000000000001,33.800000000000004
12,19,12,0.6,300,184,60.0,36.8
13,4,13,0.65,325,200,65.0,40.0
14,12,14,0.7,350,215,70.0,43.0
15,0,15,0.75,375,230,75.0,46.0
16,8,16,0.8,400,245,80.0,49.0
17,11,17,0.85,425,260,85.0,52.0
18,7,18,0.9,450,276,90.0,55.2
19,5,19,0.95,475,291,95.0,58.199999999999996
20,9,20,1.0,500,306,100.0,61.199999999999996
