step,newly_targeted_client,total_targeted_clients,fraction_targeted,nodes_exposed_no_defense,nodes_exposed_with_defense,exposure_pct_no_defense,exposure_pct_with_defense
1,11,1,0.05,25,15,5.0,3.0
2,2,2,0.1,50,30,10.0,6.0
3,6,3,0.15,75,45,15.0,9.0
4,4,4,0.2,100,60,20.0,12.0
5,17,5,0.25,125,75,25.0,15.0
6,13,6,0.3,150,90,30.0,18.0
7,15,7,0.35,175,106,35.0,21.2
8,0,8,0.4,200,121,40.0,24.2
9,3,9,0.45,225,136,45.0,27.200000000000003
10,5,10,0.5,250,152,50.0,30.4
11,16,11,0.55,275,167,55.00000000000001,33.4
12,12,12,0.6,300,183,60.0,36.6
13,14,13,0.65,325,199,65.0,39.800000000000004
14,9,14,0.7,350,214,70.0,42.8
15,10,15,0.75,375,229,75.0,45.800000000000004
16,8,16,0.8,400,244,80.0,48.8
17,1,17,0.85,425,259,85.0,51.800000000000004
18,7,18,0.9,450,274,90.0,54.800000000000004
19,18,19,0.95,475,289,95.0,57.8
20,19,20,1.0,500,304,100.0,60.8
